Node1,Node2,Layer
grc,alb,7442
grc,alb,7449
grc,alb,7452
grc,alb,7492
grc,alb,7528
grc,alb,7599
grc,alb,7641
grc,alb,7643
grc,alb,7649
grc,alb,7721
grc,alb,7731
grc,alb,7751
grc,alb,7752
grc,alb,7758
grc,alb,7781
grc,alb,7784
grc,alb,7788
grc,alb,7810
grc,alb,7821
grc,alb,7831
grc,alb,7832
grc,alb,7849
grc,alb,7851
grc,alb,7861
grc,alb,7868
grc,alb,8121
grc,alb,8122
grc,alb,8720
grc,alb,8743
grc,alb,8813
grc,alb,8821
grc,alb,8822
grc,alb,8921
grc,alb,8922
grc,alb,8924
grc,alb,8928
grc,alb,8932
grc,alb,8942
grc,alb,8946
grc,alb,8983
grc,alb,9310
hun,alb,114
hun,alb,482
hun,alb,4236
hun,alb,6428
hun,alb,7272
hun,alb,7415
hun,alb,9310
idn,alb,6342
idn,alb,6415
idn,alb,7638
irn,alb,6581
irl,alb,5139
irl,alb,5514
irl,alb,7599
irl,alb,7643
isr,alb,6911
ita,alb,14
ita,alb,111
ita,alb,113
ita,alb,114
ita,alb,116
ita,alb,142
ita,alb,149
ita,alb,223
ita,alb,422
ita,alb,460
ita,alb,484
ita,alb,541
ita,alb,546
ita,alb,565
ita,alb,571
ita,alb,574
ita,alb,579
ita,alb,585
ita,alb,612
ita,alb,711
ita,alb,730
ita,alb,812
ita,alb,813
ita,alb,914
ita,alb,980
ita,alb,1110
ita,alb,1121
ita,alb,1123
ita,alb,1124
ita,alb,2672
ita,alb,2690
ita,alb,2731
ita,alb,2732
ita,alb,2925
ita,alb,2926
ita,alb,3232
ita,alb,3342
ita,alb,3343
ita,alb,3345
ita,alb,4113
ita,alb,4236
ita,alb,5121
ita,alb,5221
ita,alb,5231
ita,alb,5232
ita,alb,5323
ita,alb,5334
ita,alb,5411
ita,alb,5413
ita,alb,5416
ita,alb,5417
ita,alb,5419
ita,alb,5530
ita,alb,5541
ita,alb,5542
ita,alb,5543
ita,alb,5823
ita,alb,5831
ita,alb,5832
ita,alb,5834
ita,alb,5836
ita,alb,5839
ita,alb,5911
ita,alb,5922
ita,alb,5989
ita,alb,6210
ita,alb,6251
ita,alb,6252
ita,alb,6259
ita,alb,6282
ita,alb,6289
ita,alb,6343
ita,alb,6415
ita,alb,6416
ita,alb,6418
ita,alb,6423
ita,alb,6424
ita,alb,6513
ita,alb,6514
ita,alb,6522
ita,alb,6531
ita,alb,6532
ita,alb,6534
ita,alb,6536
ita,alb,6543
ita,alb,6560
ita,alb,6571
ita,alb,6573
ita,alb,6577
ita,alb,6612
ita,alb,6613
ita,alb,6618
ita,alb,6633
ita,alb,6647
ita,alb,6648
ita,alb,6649
ita,alb,6651
ita,alb,6652
ita,alb,6665
ita,alb,6666
ita,alb,6732
ita,alb,6744
ita,alb,6745
ita,alb,6746
ita,alb,6749
ita,alb,6760
ita,alb,6782
ita,alb,6783
ita,alb,6785
ita,alb,6822
ita,alb,6842
ita,alb,6861
ita,alb,6911
ita,alb,6912
ita,alb,6921
ita,alb,6924
ita,alb,6931
ita,alb,6935
ita,alb,6940
ita,alb,6953
ita,alb,6973
ita,alb,6974
ita,alb,6975
ita,alb,6994
ita,alb,6996
ita,alb,6997
ita,alb,7111
ita,alb,7138
ita,alb,7139
ita,alb,7161
ita,alb,7212
ita,alb,7219
ita,alb,7224
ita,alb,7233
ita,alb,7234
ita,alb,7247
ita,alb,7248
ita,alb,7264
ita,alb,7271
ita,alb,7272
ita,alb,7281
ita,alb,7283
ita,alb,7361
ita,alb,7368
ita,alb,7372
ita,alb,7373
ita,alb,7412
ita,alb,7413
ita,alb,7414
ita,alb,7416
ita,alb,7421
ita,alb,7428
ita,alb,7431
ita,alb,7434
ita,alb,7436
ita,alb,7441
ita,alb,7442
ita,alb,7449
ita,alb,7451
ita,alb,7452
ita,alb,7492
ita,alb,7499
ita,alb,7521
ita,alb,7523
ita,alb,7528
ita,alb,7599
ita,alb,7611
ita,alb,7638
ita,alb,7643
ita,alb,7648
ita,alb,7711
ita,alb,7731
ita,alb,7732
ita,alb,7741
ita,alb,7742
ita,alb,7751
ita,alb,7752
ita,alb,7753
ita,alb,7757
ita,alb,7758
ita,alb,7781
ita,alb,7783
ita,alb,7784
ita,alb,7788
ita,alb,7810
ita,alb,7821
ita,alb,7831
ita,alb,7832
ita,alb,7849
ita,alb,7851
ita,alb,7861
ita,alb,7868
ita,alb,7921
ita,alb,7938
ita,alb,8122
ita,alb,8124
ita,alb,8212
ita,alb,8720
ita,alb,8731
ita,alb,8742
ita,alb,8748
ita,alb,8813
ita,alb,8822
ita,alb,8928
ita,alb,8932
ita,alb,8947
ita,alb,8952
ita,alb,8959
ita,alb,8982
ita,alb,8983
ita,alb,8996
ita,alb,8998
ita,alb,9310
jpn,alb,7224
kor,alb,5416
kor,alb,6251
kor,alb,6252
mys,alb,4313
mys,alb,5541
mex,alb,616
nld,alb,914
nld,alb,1123
nld,alb,7518
nld,alb,7523
nld,alb,7525
nld,alb,7591
nld,alb,7861
nld,alb,8720
nld,alb,9310
nzl,alb,230
nor,alb,7711
nor,alb,7712
nor,alb,7721
nor,alb,8731
per,alb,814
rou,alb,3510
rou,alb,7361
rou,alb,7788
rou,alb,8122
rus,alb,224
rus,alb,4236
rus,alb,5621
rus,alb,5629
rus,alb,5831
sgp,alb,7758
svn,alb,5417
svn,alb,5530
svn,alb,6411
svn,alb,6412
svn,alb,6415
svn,alb,6418
svn,alb,7492
svn,alb,7643
svn,alb,8928
esp,alb,111
esp,alb,113
esp,alb,620
esp,alb,6624
esp,alb,7810
esp,alb,8122
swe,alb,980
swe,alb,2482
che,alb,224
che,alb,1222
che,alb,3341
che,alb,5417
che,alb,7234
che,alb,7821
che,alb,8212
che,alb,8851
tha,alb,6536
tha,alb,7234
tha,alb,7525
tun,alb,5629
tur,alb,14
tur,alb,412
tur,alb,484
tur,alb,544
tur,alb,589
tur,alb,612
tur,alb,620
tur,alb,730
tur,alb,1211
tur,alb,3351
tur,alb,4236
tur,alb,5334
tur,alb,5514
tur,alb,5530
tur,alb,5541
tur,alb,5542
tur,alb,5621
tur,alb,5831
tur,alb,5922
tur,alb,5989
tur,alb,6353
tur,alb,6415
tur,alb,6418
tur,alb,6423
tur,alb,6515
tur,alb,6516
tur,alb,6522
tur,alb,6531
tur,alb,6535
tur,alb,6538
tur,alb,6552
tur,alb,6560
tur,alb,6571
tur,alb,6581
tur,alb,6583
tur,alb,6584
tur,alb,6595
tur,alb,6623
tur,alb,6652
tur,alb,6731
tur,alb,6732
tur,alb,6733
tur,alb,6770
tur,alb,6783
tur,alb,6793
tur,alb,6842
tur,alb,6911
tur,alb,6912
tur,alb,6931
tur,alb,6940
tur,alb,6953
tur,alb,6973
tur,alb,6974
tur,alb,6991
tur,alb,6994
tur,alb,6997
tur,alb,7162
tur,alb,7271
tur,alb,7362
tur,alb,7436
tur,alb,7442
tur,alb,7452
tur,alb,7492
tur,alb,7649
tur,alb,7721
tur,alb,7731
tur,alb,7758
tur,alb,7783
tur,alb,7849
tur,alb,7853
tur,alb,8124
tur,alb,8211
tur,alb,8219
tur,alb,8472
tur,alb,8510
tur,alb,8742
tur,alb,8921
tur,alb,8931
tur,alb,8939
tur,alb,8942
gbr,alb,2882
gbr,alb,5913
gbr,alb,6415
gbr,alb,6960
gbr,alb,7132
gbr,alb,7211
gbr,alb,7267
gbr,alb,7416
gbr,alb,7441
gbr,alb,7442
gbr,alb,7523
gbr,alb,7525
gbr,alb,7641
gbr,alb,7781
gbr,alb,8720
gbr,alb,8921
gbr,alb,9310
arg,dza,111
arg,dza,542
arg,dza,611
arg,dza,1211
arg,dza,4232
arg,dza,5148
arg,dza,5241
arg,dza,5322
arg,dza,6782
arg,dza,8510
aus,dza,112
aus,dza,230
aus,dza,240
aus,dza,452
aus,dza,3222
aus,dza,6842
aut,dza,11
aut,dza,546
aut,dza,2482
aut,dza,2483
aut,dza,2517
aut,dza,2665
aut,dza,2782
aut,dza,2875
aut,dza,5413
aut,dza,5416
aut,dza,5417
aut,dza,5833
aut,dza,5913
aut,dza,6251
aut,dza,6252
aut,dza,6259
aut,dza,6412
aut,dza,6413
aut,dza,6421
aut,dza,6612
aut,dza,6633
aut,dza,6716
aut,dza,6760
aut,dza,6940
aut,dza,6997
aut,dza,7234
aut,dza,7243
aut,dza,7244
aut,dza,7245
aut,dza,7267
aut,dza,7284
aut,dza,7361
aut,dza,7367
aut,dza,7413
aut,dza,7422
aut,dza,7429
aut,dza,7434
aut,dza,7441
aut,dza,7611
aut,dza,7641
aut,dza,7761
aut,dza,7919
aut,dza,8124
aut,dza,8482
aut,dza,8939
aut,dza,8959
blr,dza,6731
blr,dza,6732
bel,dza,15
bel,dza,224
bel,dza,240
bel,dza,371
bel,dza,430
bel,dza,482
bel,dza,483
bel,dza,545
bel,dza,811
bel,dza,819
bel,dza,2331
bel,dza,2472
bel,dza,2690
bel,dza,2713
bel,dza,2733
bel,dza,4239
bel,dza,4312
bel,dza,5138
bel,dza,5146
bel,dza,5148
bel,dza,5162
bel,dza,5169
bel,dza,5224
bel,dza,5225
bel,dza,5232
bel,dza,5241
bel,dza,5311
bel,dza,5312
bel,dza,5331
bel,dza,5332
bel,dza,5334
bel,dza,5411
bel,dza,5413
bel,dza,5514
bel,dza,5623
bel,dza,5829
bel,dza,5832
bel,dza,5833
bel,dza,5834
bel,dza,5841
bel,dza,5912
bel,dza,6281
bel,dza,6289
bel,dza,6411
bel,dza,6412
bel,dza,6413
bel,dza,6415
bel,dza,6428
bel,dza,6513
bel,dza,6514
bel,dza,6522
bel,dza,6531
bel,dza,6534
bel,dza,6552
bel,dza,6577
bel,dza,6641
bel,dza,6649
bel,dza,6744
bel,dza,6781
bel,dza,6785
bel,dza,6793
bel,dza,6794
bel,dza,6811
bel,dza,6841
bel,dza,6851
bel,dza,6863
bel,dza,6871
bel,dza,6911
bel,dza,6921
bel,dza,6940
bel,dza,6953
bel,dza,6954
bel,dza,6991
bel,dza,6996
bel,dza,6997
bel,dza,6998
bel,dza,6999
bel,dza,7139
bel,dza,7144
bel,dza,7149
bel,dza,7161
bel,dza,7162
bel,dza,7169
bel,dza,7243
bel,dza,7245
bel,dza,7246
bel,dza,7252
bel,dza,7283
bel,dza,7284
bel,dza,7361
bel,dza,7362
bel,dza,7367
bel,dza,7369
bel,dza,7373
bel,dza,7413
bel,dza,7416
bel,dza,7422
bel,dza,7428
bel,dza,7429
bel,dza,7431
bel,dza,7434
bel,dza,7435
bel,dza,7439
bel,dza,7442
bel,dza,7451
bel,dza,7491
bel,dza,7524
bel,dza,7525
bel,dza,7528
bel,dza,7612
bel,dza,7638
bel,dza,7642
bel,dza,7643
bel,dza,7721
bel,dza,7731
bel,dza,7742
bel,dza,7764
bel,dza,7788
bel,dza,7822
bel,dza,7849
bel,dza,7853
bel,dza,7919
bel,dza,8124
bel,dza,8710
bel,dza,8741
bel,dza,8742
bel,dza,8743
bel,dza,8744
bel,dza,8745
bel,dza,8748
bel,dza,8813
bel,dza,8821
bel,dza,8822
bel,dza,8928
bel,dza,8931
bel,dza,8939
bel,dza,8942
bel,dza,8974
bel,dza,8991
bih,dza,2482
bra,dza,585
bra,dza,611
bra,dza,751
bra,dza,819
bra,dza,1211
bra,dza,5413
bra,dza,5831
bra,dza,5832
bra,dza,5839
bra,dza,6418
bra,dza,6716
bra,dza,6727
bra,dza,6782
bra,dza,7373
bra,dza,7782
bgr,dza,430
bgr,dza,440
bgr,dza,452
bgr,dza,980
bgr,dza,5232
bgr,dza,5622
bgr,dza,6785
bgr,dza,7271
bgr,dza,7281
bgr,dza,7422
bgr,dza,7442
bgr,dza,7649
bgr,dza,7788
bgr,dza,7849
bgr,dza,8742
cmr,dza,711
can,dza,224
can,dza,422
can,dza,459
can,dza,542
can,dza,813
can,dza,2111
can,dza,2224
can,dza,3232
can,dza,4113
can,dza,5334
can,dza,6411
can,dza,6642
can,dza,6992
can,dza,7239
can,dza,7264
can,dza,7436
can,dza,7522
can,dza,7525
can,dza,7599
can,dza,7788
can,dza,7868
can,dza,7932
can,dza,8124
can,dza,8481
can,dza,8720
chl,dza,2483
chl,dza,5982
chn,dza,545
chn,dza,546
chn,dza,741
chn,dza,752
chn,dza,1211
chn,dza,2919
chn,dza,5139
chn,dza,5147
chn,dza,5156
chn,dza,5225
chn,dza,5233
chn,dza,5239
chn,dza,5331
chn,dza,5417
chn,dza,5721
chn,dza,5834
chn,dza,5922
chn,dza,5983
chn,dza,5989
chn,dza,6123
chn,dza,6251
chn,dza,6252
chn,dza,6254
chn,dza,6282
chn,dza,6342
chn,dza,6354
chn,dza,6359
chn,dza,6423
chn,dza,6424
chn,dza,6514
chn,dza,6522
chn,dza,6531
chn,dza,6532
chn,dza,6534
chn,dza,6535
chn,dza,6552
chn,dza,6560
chn,dza,6573
chn,dza,6575
chn,dza,6581
chn,dza,6583
chn,dza,6584
chn,dza,6631
chn,dza,6638
chn,dza,6652
chn,dza,6664
chn,dza,6665
chn,dza,6666
chn,dza,6713
chn,dza,6744
chn,dza,6746
chn,dza,6899
chn,dza,6935
chn,dza,6951
chn,dza,6991
chn,dza,7234
chn,dza,7243
chn,dza,7245
chn,dza,7247
chn,dza,7248
chn,dza,7251
chn,dza,7252
chn,dza,7264
chn,dza,7281
chn,dza,7284
chn,dza,7362
chn,dza,7413
chn,dza,7492
chn,dza,7499
chn,dza,7512
chn,dza,7522
chn,dza,7523
chn,dza,7524
chn,dza,7528
chn,dza,7599
chn,dza,7621
chn,dza,7622
chn,dza,7628
chn,dza,7642
chn,dza,7751
chn,dza,7761
chn,dza,7764
chn,dza,7782
chn,dza,7783
chn,dza,7849
chn,dza,7851
chn,dza,7852
chn,dza,7853
chn,dza,8310
chn,dza,8441
chn,dza,8442
chn,dza,8459
chn,dza,8462
chn,dza,8463
chn,dza,8472
chn,dza,8482
chn,dza,8484
chn,dza,8510
chn,dza,8841
chn,dza,8842
chn,dza,8851
chn,dza,8852
chn,dza,8941
chn,dza,8983
chn,dza,8993
chn,dza,8999
hkg,dza,741
hkg,dza,6123
hkg,dza,7284
hkg,dza,7518
hkg,dza,7591
hkg,dza,7849
hkg,dza,8931
cog,dza,2472
civ,dza,711
civ,dza,721
hrv,dza,2482
hrv,dza,6782
hrv,dza,7721
cub,dza,980
cub,dza,5416
cub,dza,5417
cze,dza,412
cze,dza,5413
cze,dza,6259
cze,dza,6514
cze,dza,6649
cze,dza,6744
cze,dza,6745
cze,dza,6746
cze,dza,6749
cze,dza,6842
cze,dza,7138
cze,dza,7169
cze,dza,7233
cze,dza,7369
cze,dza,7372
cze,dza,7373
cze,dza,7762
cze,dza,7783
cze,dza,8121
cze,dza,8720
cze,dza,8743
dnk,dza,541
dnk,dza,545
dnk,dza,2929
dnk,dza,4113
dnk,dza,4312
dnk,dza,5148
dnk,dza,5411
dnk,dza,6289
dnk,dza,7428
dnk,dza,7431
dnk,dza,7493
dnk,dza,7731
dnk,dza,7741
dnk,dza,8742
dnk,dza,8983
egy,dza,752
egy,dza,980
egy,dza,2789
egy,dza,3232
egy,dza,5114
egy,dza,5232
egy,dza,5417
egy,dza,5622
egy,dza,5721
egy,dza,6428
egy,dza,6624
egy,dza,6841
egy,dza,6842
egy,dza,7415
egy,dza,7821
egy,dza,8922
eth,dza,542
eth,dza,2238
fin,dza,612
fin,dza,2471
fin,dza,2482
fin,dza,2483
fin,dza,5224
fin,dza,6921
fin,dza,7441
fin,dza,8741
fra,dza,14
fra,dza,224
fra,dza,230
fra,dza,251
fra,dza,371
fra,dza,411
fra,dza,412
fra,dza,430
fra,dza,459
fra,dza,470
fra,dza,488
fra,dza,541
fra,dza,545
fra,dza,546
fra,dza,583
